,pid,lab,ml,ap,dv,phi,theta,depth
67,9991277b-9e8e-4db8-b8a6-e2c0176ef9ad,angelakilab,5472.000,10960.000,5837.000,-160.961,8.665,4892.923
68,ef33604f-93e8-43f3-a56c-e969579775e8,hoferlab,3821.000,8071.000,6132.000,19.413,7.958,6014.608
69,2b3c3126-11f3-4a8e-aa44-2f965bf8ab9c,mrsicflogellab,4837.000,4422.000,5199.000,143.046,21.264,3889.053
70,66f810a8-b18d-4b54-9f28-2964dfceccad,angelakilab,5272.000,6808.000,6852.000,54.045,15.461,6408.411
71,6c8eb20d-2f70-4497-96aa-821b2be7ea49,angelakilab,5302.000,4684.000,6543.000,-4.246,12.210,5798.813
72,68f5f1e4-5e88-4aa5-8a1a-94b691adb11e,hoferlab,3305.000,4534.000,6529.000,-0.728,12.632,5691.995
73,08ed0b3c-9f94-4c1f-8522-3d42a642a6b0,angelakilab,1712.000,6371.000,6691.000,32.254,12.674,5731.056
74,e88eb9f8-fff3-469a-854d-d16adef19df0,churchlandlab,5132.000,5727.000,4085.000,-174.339,11.750,3610.387
75,63a32e5c-f63a-450d-85cb-140947b67eaf,mainenlab,4348.000,8062.000,3958.000,-174.835,11.060,3651.111
76,cab81176-36cd-4c37-9353-841e85027d36,danlab,3570.000,10091.000,6103.000,171.746,11.533,4901.540
77,143dd7cf-6a47-47a1-906d-927ad7fe9117,mrsicflogellab,3902.000,8092.000,4249.000,131.830,12.371,3864.209
78,ac088ddb-9e1e-49ae-b341-46a8445cf809,angelakilab,4433.000,6474.000,6658.000,45.136,20.185,6027.848
79,4755877d-fd14-42b3-bc15-e1996d153015,danlab,4954.000,4610.000,6427.000,32.996,15.021,5385.550
80,4f10fbb7-57be-427b-bb1d-a19bd31dc27b,hoferlab,3109.000,7603.000,4720.000,158.249,14.451,3815.967
81,521d4f09-e044-4da7-82dd-7db7b1dea72b,zadorlab,5724.000,8823.000,3685.000,144.719,17.704,3684.184
82,c42574be-0456-437f-8329-afc5a63b7e78,churchlandlab,3747.000,5723.000,6887.000,8.855,8.756,6335.582
83,04db6b9e-a80c-4507-a98e-ad76294ac444,churchlandlab,4037.000,11459.000,5091.000,51.730,14.478,4122.162
84,0ce74616-abf8-47c2-86d9-f821cd25efd3,churchlandlab,5444.000,11477.000,3810.000,142.731,15.402,2810.690
85,28d5d3fa-bae7-499c-9362-7328ed2ff0d0,hoferlab,3024.000,8313.000,6639.000,65.929,5.284,6165.322
