,pid,ml_e_m,ap_e_m,dv_e_m,ml_t_m,ap_t_m,dv_t_m
138,f336f6a4-f693-4b88-b12c-c5cf0785b061,3428.076,8600.776,332.000,2366.487,8600.776,6808.363
139,44fc463b-405f-4048-9242-ac018b9f50f7,3382.908,6854.898,577.198,4470.383,6854.898,4942.964
140,818d2996-766a-4fd9-82b8-7e4cb080af0e,2439.630,6369.932,1115.051,3527.105,6369.932,5480.817
141,febb430e-2d50-4f83-87a0-b5ffbb9a4943,3382.908,7339.864,522.960,4470.383,7339.864,4888.727
142,1a166c4f-4c53-422e-8473-b3cff85e6750,4379.756,7339.864,308.271,5467.231,7339.864,4674.038
143,c16b8e98-100f-40ce-b417-b1524c7e1270,1981.647,8794.762,1223.525,3069.122,8794.762,5589.292
144,b76f24ea-95b1-4a0e-95eb-9c39b1283c40,2898.664,8794.762,684.542,3986.139,8794.762,5050.309
145,07abb39b-063b-4ef8-b3ab-963c6a1b5cc5,3868.202,8794.762,362.508,4955.677,8794.762,4728.275
146,b9b101cf-24d3-4c2a-8464-bc91b9f0c767,2425.975,9279.728,1007.706,3513.450,9279.728,5373.473
147,c6ba6f8e-c13e-410f-b7df-e193ba0d239d,3356.647,9764.694,738.780,4444.122,9764.694,5104.546
148,9373cd09-a591-42be-9343-ed6f06b7056d,2413.370,10249.661,1492.452,3500.845,10249.661,5858.218
149,63679ae2-6c87-495b-b888-a7273e545636,3098.244,10734.627,2456.294,4185.719,10734.627,6822.060
150,c2363000-27a6-461e-940b-15f681496ed8,2898.664,6854.898,738.780,3986.139,6854.898,5104.546
151,b40d8c65-7ee8-4069-8b64-1a3f7907742f,3382.908,8309.796,469.853,4470.383,8309.796,4835.620
152,ccb501d1-a4fa-41c6-819e-54aaf74d439d,4379.756,6854.898,362.508,5467.231,6854.898,4728.275
153,eb99c2c8-e614-4240-931b-169bed23e9f5,3382.908,6854.898,577.198,4470.383,6854.898,4942.964
154,2aea57ac-d3d0-4a09-b6fa-0aa9d58d1e11,3881.857,6854.898,469.853,4969.332,6854.898,4835.620
155,26118c10-35dd-4ab1-9f0f-b9a89a1da070,3396.563,4915.034,1223.525,4484.038,4915.034,5589.292
156,898f8971-31e9-4fdb-b66e-2ae6d3a33a5b,4379.756,4915.034,953.469,5467.231,4915.034,5319.235
157,b7612153-372f-415a-9770-7101fbbbdc59,3370.303,5884.966,793.017,4457.778,5884.966,5158.783
158,0e8d3cb3-2e4c-47a0-8bb4-65d2cc3161c6,4373.454,5884.966,605.446,5460.929,5884.966,4971.213
159,0925fb1b-cf83-4f55-bfb7-aa52f993a404,2871.353,10249.661,1223.525,3958.828,10249.661,5589.292
160,9f78a787-c6d5-4e51-b4fb-1552e81eccd5,2911.269,6369.932,900.362,3998.744,6369.932,5266.128
161,5c278ffe-6452-4c36-b17f-2050c74e13b1,3265.261,6127.449,793.017,2110.464,6127.449,7838.009
162,c4f6665f-8be5-476b-a6e8-d81eeae9279d,3382.908,7339.864,522.960,4470.383,7339.864,4888.727
163,57acb640-4f64-4a89-bedf-69351a3aea75,6180.176,2732.687,1867.593,4778.819,2732.687,6798.236
164,bebe7c8f-0f34-4c3a-8fbb-d2a5119d2961,3382.908,6369.932,684.542,4470.383,6369.932,5050.309
165,4755877d-fd14-42b3-bc15-e1996d153015,6766.311,4187.585,1115.051,5046.477,4187.585,7166.245
166,695476f6-4c14-4a2f-b658-948514629079,2439.630,5884.966,1276.633,3527.105,5884.966,5642.399
167,4f46198d-c54d-4627-9e4e-3c8fd4c3c070,6226.395,4187.585,1169.288,4506.561,4187.585,7220.482
168,af775340-53d0-43cd-9cda-48e32b95adca,2898.664,5400.000,1169.288,3986.139,5400.000,5535.055
169,b910cbe2-0c68-40b2-b9f1-268e7c28320a,6241.101,4672.551,1007.706,4367.711,4672.551,7599.185
170,ecde7e20-f135-47dd-8f96-adac49e4942e,2911.269,4915.034,1383.977,3998.744,4915.034,5749.744
171,091392a5-73f6-40f3-8552-fa917cf96deb,6241.101,6127.449,524.090,4652.712,6127.449,6112.800
172,d258bca2-bf18-4491-8d57-5322f705caec,3436.479,3945.102,1652.904,4523.954,3945.102,6018.670
173,1ef94d02-d51a-491f-a313-1bb5238d6b8b,4351.395,4187.585,1169.288,3308.229,4187.585,7533.260
174,b375a0ee-4c5a-4a53-9cea-d753f206e5c5,4373.454,5400.000,765.898,5460.929,5400.000,5131.665
175,954b1983-e603-4611-ba15-dc2db6f988ab,3868.202,6369.932,522.960,4955.677,6369.932,4888.727
176,d1af1003-247b-4f76-988f-d55cbb72aa80,4351.395,4672.551,1060.814,3249.313,4672.551,7784.213
177,03c42ea1-1e04-4a3e-9b04-46d8568dcd02,8543.622,10977.110,1922.960,7631.604,10977.110,7486.846
178,95fd67e6-cbff-4356-80c7-5a03b1bf6b8a,2898.664,7339.864,684.542,3986.139,7339.864,5050.309
179,ce99545f-c6a5-4d53-8b68-0ceb78bd942e,8044.672,10977.110,1761.379,7077.933,10977.110,7659.097
180,dab512bd-a02d-4c1f-8dbc-9155a163efc0,3382.908,7339.864,522.960,4470.383,7339.864,4888.727
181,cab81176-36cd-4c37-9353-841e85027d36,2885.008,9764.694,954.599,3972.483,9764.694,5320.365
182,d06f4b61-42c1-4a8d-a2a5-c1cf8f7d0e47,4373.454,9522.211,605.446,3351.994,9522.211,6836.998
183,19c9caea-2df8-4097-92f8-0a2bad055948,3265.261,5642.483,954.599,2189.080,5642.483,7519.984
184,c2184312-2421-492b-bbee-e8c8e982e49e,5025.765,9764.694,1116.181,6113.240,9764.694,5481.947
185,11f70c37-a546-439a-9fb7-da6b6ebfb0cb,8560.429,11947.042,1819.006,7648.411,11947.042,7382.891
186,bdb2ec51-d948-4428-b2cc-2c6cd5bf5fe3,4379.756,10734.627,1276.633,5467.231,10734.627,5642.399
187,f26a6ab1-7e37-4f8d-bb50-295c056e1062,3382.908,7339.864,522.960,4470.383,7339.864,4888.727
188,a6fe3779-2b77-4b66-a625-a6078720e412,3382.908,7824.830,469.853,4470.383,7824.830,4835.620
189,fb0de39b-c750-4adc-af18-12bf8a22ed41,3318.832,9522.211,631.435,2406.814,9522.211,6195.321
190,19e0bf1e-018e-40cb-9acd-af8f0f66bd4a,2425.975,7824.830,846.124,3513.450,7824.830,5211.891
191,ecd07b7e-6450-4e31-bef1-f195129eb3d3,2696.983,5157.517,1383.977,1894.408,5157.517,6280.197
192,63517fd4-ece1-49eb-9259-371dc30b1dd6,3382.908,7339.864,522.960,4470.383,7339.864,4888.727
193,1ff5ce1f-5500-444b-ad5f-70f90dd22ac3,2425.975,7339.864,900.362,3513.450,7339.864,5266.128
194,6d24683c-da42-4610-baf0-7ceee7014394,8095.092,7339.864,522.960,7007.617,7339.864,4888.727
195,6aa08c75-8ee5-457d-9794-b89ee1c4453f,3881.857,8309.796,362.508,4969.332,8309.796,4728.275
196,c250d4f4-7516-4cf1-a8bd-04873ca9e21c,6256.857,9037.245,415.616,4537.024,9037.245,6466.810
197,a3ebc7f4-813a-4f06-a33e-9825c878f9c2,6789.420,9037.245,389.627,4885.319,9037.245,7089.163
198,a4d9d9d5-6ea3-4234-aa28-e064e83626fa,3382.908,8794.762,522.960,4470.383,8794.762,4888.727
199,25a9182c-4795-4768-af47-98975d2d2a8a,6210.639,10007.177,1116.181,4429.382,10007.177,7383.489
200,ba291bec-4492-4d7f-a6aa-483ebb64b3c3,4898.664,8794.762,282.282,5986.139,8794.762,4648.049
201,2400a2fa-0335-480b-ac8d-a478171f3a55,3848.244,9764.694,58.554,4935.719,9764.694,4424.320
202,cde137a5-7a93-4968-ab61-5aedbd9ce3fb,6705.387,10007.177,1222.395,4893.419,10007.177,7597.761
203,41dc1107-fbcb-4174-a262-19928c355018,4885.008,6127.449,524.090,3735.866,6127.449,7534.586
204,b939cc85-6028-404a-995d-28c8405a07db,4373.454,9764.694,605.446,5460.929,9764.694,4971.213
205,779fbed1-4b0e-4d7d-8882-6650690221a0,4359.798,6127.449,524.090,3174.175,6127.449,7757.142
206,bfda40f8-a7a7-47cd-a439-39fb5cd7873f,3938.580,10734.627,1612.226,5026.055,10734.627,5977.992
207,4f10fbb7-57be-427b-bb1d-a19bd31dc27b,2062.529,7630.844,332.000,3136.411,7630.844,4643.194
208,b73ef9cf-462c-4de3-ae61-5907790ebd0e,3323.034,8067.313,332.000,3323.034,8067.313,332.000
209,df7d2ca7-068b-4df2-9782-8f6bb7d67f18,2115.050,7339.864,332.000,3202.525,7339.864,4697.766
210,2a7caaa4-1710-49a1-ade4-db0a986ae6f5,4393.412,3945.102,1276.633,5480.887,3945.102,5642.399
211,bef552f5-efd8-4e98-8467-d54ac7c4ef41,3813.580,4187.585,2306.011,2959.019,4187.585,7519.372
212,c17772a9-21b5-49df-ab31-3017addea12e,3376.605,7367.992,664.203,4533.135,7367.992,5307.196
213,3530526e-e690-4222-878f-0f9f401fa759,2730.597,7565.858,348.949,1624.866,7565.858,7094.604
214,55423355-281c-41f2-8ef7-5aa098ffbbed,2188.580,7103.201,1371.548,1299.180,7103.201,6797.449
215,316a733a-5358-4d1d-9f7f-179ba3c90adf,2472.193,7383.511,1353.469,3590.389,7383.511,5842.568
216,3fd2d2b3-9415-4b6e-b392-40427fb1c388,4297.824,4076.043,1709.401,3274.722,4076.043,7950.968
217,1e104bf4-7a24-4624-a5b2-c2c8289c0de7,3320.933,7899.515,522.960,2171.243,7899.515,7536.795
218,6638cfb3-3831-4fc2-9327-194b76cf22e1,4898.664,2506.693,1841.605,6013.598,2506.693,6317.607
219,da8dfec1-d265-44e8-84ce-6ae9c109b8bd,6747.403,5172.066,846.124,4863.571,5172.066,7474.343
220,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,3410.218,7392.241,522.960,4497.693,7392.241,4888.727
221,eb04cc7c-7c10-4e7f-8593-9c3b9b6986f5,6862.950,5642.483,710.531,4958.848,5642.483,7410.067
222,b33e4298-a735-4781-8dea-d7203b4137fb,6269.462,5640.543,603.186,4334.649,5640.543,7410.780
223,d151b391-e6e4-4daf-bd9c-191f4ad837b4,3880.807,7409.699,613.356,4954.688,7409.699,4924.550
224,0f306cdc-878a-4ea0-9e91-b97736731637,4372.403,7913.094,648.384,5432.691,7913.094,4905.006
225,8386f396-0a69-48b5-98d4-18801066ea76,6690.681,5002.328,846.124,4878.713,5002.328,7221.489
226,31d8dfb1-71fd-4c53-9229-7cd48bee07e4,2994.252,3938.312,1710.531,4068.134,3938.312,6021.725
227,68f5f1e4-5e88-4aa5-8a1a-94b691adb11e,4490.050,5166.246,846.124,3523.129,5166.246,6744.956
228,02328ef5-47d4-4690-b020-04b6315aa2d6,3831.437,5109.020,1320.701,2901.179,5109.020,6995.864
229,06c6741e-9f2a-4114-8ca9-0dc5ccc951e6,4019.462,3457.226,1598.667,5079.750,3457.226,5855.289
230,8ee585ba-d055-4bb5-bc5f-2266a3d62bf4,4833.538,8011.057,587.367,3812.078,8011.057,6818.919
231,367ea4c4-d1b7-47a6-9f18-5d0df9a3f4de,8207.487,11216.683,1599.797,8918.861,11216.683,5939.627
232,9b3ad89a-177f-4242-9a96-2fd98721e47f,2719.042,7582.347,738.780,1743.183,7582.347,6692.137
233,63a32e5c-f63a-450d-85cb-140947b67eaf,3449.084,7347.624,1012.226,4536.559,7347.624,5377.992
234,6eb8be8d-d089-43c6-b2e4-a6558ca16dcf,4924.924,5400.000,858.554,6012.399,5400.000,5224.320
235,b78b3c42-eee5-47c6-9717-743b78c0b721,2418.622,8807.371,1037.085,3506.097,8807.371,5402.851
236,61ed1a53-2f33-4a83-82ba-ec7dfa65bf60,2180.176,8580.407,1068.723,1332.365,8580.407,6240.911
237,bbf6a51e-2999-4982-803f-8769db095dd2,4431.227,10385.451,1167.028,5518.702,10385.451,5532.795
238,e31b4e39-e350-47a9-aca4-72496d99ff2a,3428.076,7542.580,2041.605,4515.551,7542.580,6407.371
239,2d544e7f-c8af-46b5-aaa0-caf0ad4d63a1,7716.941,11798.642,1513.921,8804.416,11798.642,5879.687
240,64f4afa4-ec5f-4ad6-ab28-415a9a8098ed,2993.202,8051.794,1791.887,1985.604,8051.794,7938.868
